name,price,production_year,kilometeres_driven,fuel_capacity,fuel_type,thumbnail
Chevrolet Camaro Coupe 6.2 V8,84 000 PLN,2020,33 648 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRsN3Z3YnlrMXN6eC1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.xPC4bi48-ju3dPb0d01PldmvUPg2hHVTOkm7WN1Z5G4/image;s=644x461
Chevrolet Camaro,89 999 PLN,2019,130 000 km,1 998 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjB5b3oyNDEzOG5oeTEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.dCQJXvQxzk5w_3w4FGZvGjbVkmk7PLmmgbVWGHGofGQ/image;s=320x240
Chevrolet Camaro,50 000 PLN,2017,153 458 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRiam50NDN1a214cy1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.w4ItNL65RHNrSLZHiaYYE6cV8OARnRHY8nohTFY25Zo/image;s=320x240
Chevrolet Camaro,134 900 PLN,2020,32 000 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJweXdqY2U5cXpnNi1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.d9BoygFeq90sMKq2yxIHeQSHo09-6nmZT7paPiXfC5c/image;s=320x240
Chevrolet Camaro,129 000 PLN,2021,12 459 km,6 200 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjAwZWgwNHY2a2I3MzItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.wR9dJm5iaxbNI4H6rPBnbKN0dmb_CEYwuQBDtd_jzoM/image;s=320x240
Chevrolet Camaro,149 900 PLN,2017,96 700 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVvM3hsN25iN3dkby1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.hM7AlZAY0qOo-VDXVJFdORjUEm4zNONscUUgIgEHUMA/image;s=644x461
Chevrolet Camaro,335 000 PLN,2018,20 120 km,6 200 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZrdGF3bWV0dmp6YjItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.qySj4wW5pLcd3ij50jKBcKhN2sF-xisSAn9PJjVUBuY/image;s=320x240
Chevrolet Camaro Coupe 6.2 V8,179 000 PLN,2019,42 000 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ink1c3ZwamowejE4bDMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.fEiODHLpGCc-ww6nU4PRQ2zct2kujij1q5Uqh6rvXt4/image;s=320x240
Chevrolet Camaro Coupe 6.2 V8,95 999 PLN,2013,25 000 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InY3NmI1MGVnNDVjcC1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.Nig4EQnaIOGACy0Yq8CMOEUyakBMUIwNVG8vzeAu-ec/image;s=320x240
Chevrolet Camaro,85 000 PLN,2022,33 434 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImU5dml3NWhhYzhjcjEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.xEnq4gGaBlbWRR3PP9Wl5Mtm5PdTIMOt1LPtfnjygEA/image;s=644x461
Chevrolet Camaro,109 000 PLN,2022,25 187 km,2 000 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im81bzNwbnB0NDJydjMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.jmVWnFzm-lXT7B7zr9qHWkPEKYQVirrxhk44dQVZ7VI/image;s=320x240
